id,PROPERTY TYPE,CITY,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,community,floor
NY_3932,Condo/Co-op,Forest Hills,2.0,1.0,98120 Queens Blvd Owners,1200.0,,1939.0,290.0,,40.728946,-73.8572059,98120 Queens Blvd Owners,wood floor
NY_9498,Condo/Co-op,Jamaica Estates,2.0,1.0,Beechhaven,1000.0,,1940.0,241.0,,40.714626,-73.796475,Beechhaven,wood floor
NY_6660,Condo/Co-op,Bronx,1.0,1.0,Bronx,642.0,,1954.0,239.0,,40.8371519,-73.86563000000002,Bronx,No
NY_8428,Condo/Co-op,College Point,3.0,2.0,Powell Cove Estates,1413.0,,2011.0,199.0,409.0,40.7941397,-73.8457253,Powell Cove Estates,wood floor
NY_3800,Condo/Co-op,Flushing,1.0,1.0,Onex,875.0,,2008.0,85.0,,40.7576921,-73.834681,Onex,wood floor
NY_8716,Condo/Co-op,Bronx,2.0,1.0,Bronx,757.0,,1926.0,534.0,,40.84097360000001,-73.8456248,Bronx,No
NY_4100,Multi-Family (2-4 Unit),Bronx,0.0,,Bronx,1848.0,2504.0,2007.0,512.0,,40.8687583,-73.83756059999997,,No
NY_10432,Single Family Residential,Staten Island,3.0,2.0,Willowbrook,1437.0,3172.0,1970.0,40.0,,40.604214,-74.141479,Willowbrook,No
NY_4475,Multi-Family (2-4 Unit),Howard Beach,5.0,2.0,Old Side,1912.0,2500.0,1970.0,676.0,,40.652463,-73.834035,Old Side,wood floor
NY_10504,Single Family Residential,Douglaston,4.0,2.0,Douglas Manor,2238.0,10500.0,1915.0,605.0,,40.776222,-73.748962,Douglas Manor,wood floor
NY_4595,Condo/Co-op,Bellerose,1.0,1.0,Glen Oaks Village,599.0,,1950.0,927.0,,40.744353,-73.7227647,Glen Oaks Village,wood floor
NY_920,Single Family Residential,Bronx,3.0,2.0,Bronx,2064.0,1319.0,1901.0,645.0,,40.835724,-73.90898100000003,Bronx,No
NY_4758,Condo/Co-op,Floral Park,2.0,2.5,Building 2,1553.0,,1975.0,61.0,,40.7568752,-73.7110078,Building 2,No
NY_5199,Townhouse,Middle Village,3.0,2.0,Middle Village,1728.0,1800.0,1940.0,789.0,,40.723876,-73.880877,Middle Village,wood floor
NY_4462,Single Family Residential,Howard Beach,4.0,3.5,Rockwood Park,3900.0,5000.0,2005.0,365.0,,40.659007,-73.84686490000001,Rockwood Park,No
NY_938,Condo/Co-op,Bronx,2.0,1.0,Bronx,800.0,,2008.0,540.0,,40.8344217,-73.91471800000002,Bronx,No
NY_5573,Townhouse,Woodside,3.0,1.0,Woodside,2000.0,2000.0,1945.0,915.0,,40.735433,-73.9031147,Woodside,No
NY_3861,Multi-Family (2-4 Unit),Flushing,8.0,6.0,Flushing,3420.0,2033.0,1972.0,438.0,,40.7662199,-73.818259,Flushing,wood floor
NY_10212,Single Family Residential,Staten Island,2.0,2.0,Great Kills,1575.0,2150.0,1989.0,114.0,45.0,40.553329,-74.145129,Great Kills,No
NY_3207,Single Family Residential,Staten Island,3.0,3.0,Rossville,1578.0,1534.0,2015.0,183.0,45.0,40.6154455,-74.0767089,Rossville,No
NY_4221,Single Family Residential,Bronx,3.0,1.0,Bronx,1665.0,2247.0,1950.0,652.0,,40.862501,-73.84881800000002,,No
NY_996,Single Family Residential,Staten Island,4.0,4.0,Emerson Hill,2800.0,4840.0,2001.0,93.0,,40.6079073,-74.0984167,Emerson Hill,No
NY_5182,Condo/Co-op,Middle Village,2.0,2.0,Middle Village,960.0,,1985.0,554.0,299.0,40.7125094,-73.882814,Middle Village,wood floor
NY_7209,Condo/Co-op,Bronx,1.0,1.0,Bronx,750.0,5201.0,1932.0,68.0,,40.8716219,-73.88260179999997,Bronx,No
NY_10034,Single Family Residential,Staten Island,3.0,2.0,Great Kills,1120.0,2352.0,1970.0,950.0,,40.557548,-74.162774,Great Kills,No
NY_11162,Townhouse,Flushing,3.0,1.5,Flushing,1440.0,2167.0,1955.0,485.0,,40.76354,-73.789721,,
NY_919,Multi-Family (2-4 Unit),Bronx,5.0,2.0,Bronx,2048.0,,1899.0,453.0,,40.83535300000001,-73.909193,Bronx,No
NY_7382,Multi-Family (2-4 Unit),Bronx,2.0,1.0,Bronx,3230.0,2509.0,1975.0,666.0,,40.879761,-73.86058,Bronx,No
NY_6631,Multi-Family (2-4 Unit),Bronx,0.0,,Bronx,3144.0,2374.0,1920.0,137.0,,40.8368187,-73.8679218,Bronx,No
NY_1142,Townhouse,Staten Island,5.0,5.0,St. George,2634.0,7155.0,1925.0,690.0,,40.6465494,-74.08488,St. George,No
NY_6814,Multi-Family (2-4 Unit),Bronx,0.0,,Bronx,3700.0,1428.0,1931.0,1089.0,,40.8236957,-73.9129382,Bronx,No
NY_3779,Condo/Co-op,Flushing,2.0,1.0,,681.0,,2014.0,492.0,184.0,40.7646938,-73.8289042,,No
NY_4851,Townhouse,Staten Island,3.0,2.0,New Dorp,2587.0,4619.0,2016.0,1013.0,,40.5666918,-74.1080526,New Dorp,No
NY_7965,Single Family Residential,Staten Island,2.0,2.0,Mariners Harbor,1400.0,1400.0,1992.0,697.0,,40.631972,-74.158721,Mariners Harbor,No
NY_4510,Condo/Co-op,Howard Beach,1.0,1.0,Barclay,900.0,,1964.0,555.0,,40.6680192,-73.84700629999998,Barclay,wood floor
NY_619,Townhouse,Rockaway Beach,3.0,2.5,Rockaway Beach,1340.0,2113.0,2006.0,908.0,,40.5901523,-73.8125262,Rockaway Beach,No
NY_9524,Single Family Residential,Richmond Hill N.,4.0,2.0,Richmond Hill N.,2800.0,2800.0,1920.0,1020.0,,40.692842,-73.840778,Richmond Hill N.,wood floor
NY_4245,Condo/Co-op,Bronx,2.0,1.0,Bronx,800.0,,1957.0,901.0,,40.8921644,-73.8562959,Bronx,No
NY_7894,Single Family Residential,Staten Island,2.0,2.0,Graniteville,1917.0,990.0,1987.0,775.0,307.0,40.621567,-74.1665177,Graniteville,No
NY_10431,Single Family Residential,Staten Island,4.0,2.0,Willowbrook,1606.0,2808.0,1971.0,40.0,,40.603886,-74.140242,Willowbrook,No
NY_3038,Single Family Residential,Staten Island,2.0,2.0,Clifton,936.0,840.0,1992.0,848.0,96.0,40.6156309,-74.07868690000002,Clifton,No
NY_2264,Condo/Co-op,Glen Oaks,2.0,2.0,Glen Oaks Village,1103.0,,1950.0,635.0,,40.7516659,-73.7183001,Glen Oaks Village,wood floor
NY_5496,Condo/Co-op,Brooklyn,2.0,1.0,Gravesend,971.0,373.0,1963.0,44.0,1028.0,40.5893269,-73.9912099,Gravesend,No
NY_3753,Condo/Co-op,Flushing,1.0,1.0,Linden Towers,870.0,,1960.0,156.0,,40.7712644,-73.8318272,Linden Towers,wood floor
NY_867,Multi-Family (2-4 Unit),Bronx,5.0,2.5,Bronx,2388.0,4107.0,1998.0,87.0,,40.832772,-73.898794,Bronx,No
NY_2928,Single Family Residential,S. Ozone Park,4.0,2.5,S. Ozone Park,1648.0,2400.0,1930.0,383.0,,40.681209,-73.81018900000002,S. Ozone Park,wood floor
